Name                       Version                         Rev    Tracking         Publisher         Notes
bare                       1.0                             5      latest/stable    canonical**       base
bitwarden                  2026.1.0                        154    latest/stable    bitwarden**       -
core18                     20260105                        2979   latest/stable    canonical**       base
core20                     20251031                        2686   latest/stable    canonical**       base
core22                     20260113                        2292   latest/stable    canonical**       base
core24                     20260107                        1349   latest/stable    canonical**       base
firmware-updater           0+git.0052f6b                   210    1/stable/…       canonical**       -
gnome-3-28-1804            3.28.0-19-g98f9e67.98f9e67      198    latest/stable    canonical**       -
gnome-42-2204              0+git.c1d3d69-sdk0+git.015db9a  247    latest/stable/…  canonical**       -
gtk-common-themes          0.1-81-g442e511                 1535   latest/stable/…  canonical**       -
icon-theme-papirus         20250501                        171    latest/stable    sameersharma2006  -
onenote-desktop            2.2.2                           20     latest/stable    anujdatar         -
outlook-ew                 1.0.7                           9      latest/stable    fcmartins         -
snap-store                 0+git.90575829                  1270   2/stable/…       canonical**       -
snapd                      2.73                            25935  latest/stable    canonical**       snapd
snapd-desktop-integration  0.9                             343    latest/stable    canonical**       -
